state,year,pdmp_implemented
Alabama,2010,1
Alabama,2011,1
Alabama,2012,1
Alabama,2013,1
Alabama,2014,1
Alabama,2015,1
Alabama,2016,1
Alabama,2017,1
Alabama,2018,1
Alabama,2019,1
Alabama,2020,1
Alabama,2021,1
Alabama,2022,1
Alaska,2010,0
Alaska,2011,1
Alaska,2012,1
Alaska,2013,1
Alaska,2014,1
Alaska,2015,1
Alaska,2016,1
Alaska,2017,1
Alaska,2018,1
Alaska,2019,1
Alaska,2020,1
Alaska,2021,1
Alaska,2022,1
Arizona,2010,1
Arizona,2011,1
Arizona,2012,1
Arizona,2013,1
Arizona,2014,1
Arizona,2015,1
Arizona,2016,1
Arizona,2017,1
Arizona,2018,1
Arizona,2019,1
Arizona,2020,1
Arizona,2021,1
Arizona,2022,1
Arkansas,2010,0
Arkansas,2011,0
Arkansas,2012,0
Arkansas,2013,1
Arkansas,2014,1
Arkansas,2015,1
Arkansas,2016,1
Arkansas,2017,1
Arkansas,2018,1
Arkansas,2019,1
Arkansas,2020,1
Arkansas,2021,1
Arkansas,2022,1
California,2010,1
California,2011,1
California,2012,1
California,2013,1
California,2014,1
California,2015,1
California,2016,1
California,2017,1
California,2018,1
California,2019,1
California,2020,1
California,2021,1
California,2022,1
Colorado,2010,1
Colorado,2011,1
Colorado,2012,1
Colorado,2013,1
Colorado,2014,1
Colorado,2015,1
Colorado,2016,1
Colorado,2017,1
Colorado,2018,1
Colorado,2019,1
Colorado,2020,1
Colorado,2021,1
Colorado,2022,1
Connecticut,2010,1
Connecticut,2011,1
Connecticut,2012,1
Connecticut,2013,1
Connecticut,2014,1
Connecticut,2015,1
Connecticut,2016,1
Connecticut,2017,1
Connecticut,2018,1
Connecticut,2019,1
Connecticut,2020,1
Connecticut,2021,1
Connecticut,2022,1
Delaware,2010,0
Delaware,2011,0
Delaware,2012,1
Delaware,2013,1
Delaware,2014,1
Delaware,2015,1
Delaware,2016,1
Delaware,2017,1
Delaware,2018,1
Delaware,2019,1
Delaware,2020,1
Delaware,2021,1
Delaware,2022,1
Florida,2010,0
Florida,2011,1
Florida,2012,1
Florida,2013,1
Florida,2014,1
Florida,2015,1
Florida,2016,1
Florida,2017,1
Florida,2018,1
Florida,2019,1
Florida,2020,1
Florida,2021,1
Florida,2022,1
Georgia,2010,0
Georgia,2011,0
Georgia,2012,0
Georgia,2013,1
Georgia,2014,1
Georgia,2015,1
Georgia,2016,1
Georgia,2017,1
Georgia,2018,1
Georgia,2019,1
Georgia,2020,1
Georgia,2021,1
Georgia,2022,1
Hawaii,2010,1
Hawaii,2011,1
Hawaii,2012,1
Hawaii,2013,1
Hawaii,2014,1
Hawaii,2015,1
Hawaii,2016,1
Hawaii,2017,1
Hawaii,2018,1
Hawaii,2019,1
Hawaii,2020,1
Hawaii,2021,1
Hawaii,2022,1
Idaho,2010,1
Idaho,2011,1
Idaho,2012,1
Idaho,2013,1
Idaho,2014,1
Idaho,2015,1
Idaho,2016,1
Idaho,2017,1
Idaho,2018,1
Idaho,2019,1
Idaho,2020,1
Idaho,2021,1
Idaho,2022,1
Illinois,2010,1
Illinois,2011,1
Illinois,2012,1
Illinois,2013,1
Illinois,2014,1
Illinois,2015,1
Illinois,2016,1
Illinois,2017,1
Illinois,2018,1
Illinois,2019,1
Illinois,2020,1
Illinois,2021,1
Illinois,2022,1
Indiana,2010,1
Indiana,2011,1
Indiana,2012,1
Indiana,2013,1
Indiana,2014,1
Indiana,2015,1
Indiana,2016,1
Indiana,2017,1
Indiana,2018,1
Indiana,2019,1
Indiana,2020,1
Indiana,2021,1
Indiana,2022,1
Iowa,2010,1
Iowa,2011,1
Iowa,2012,1
Iowa,2013,1
Iowa,2014,1
Iowa,2015,1
Iowa,2016,1
Iowa,2017,1
Iowa,2018,1
Iowa,2019,1
Iowa,2020,1
Iowa,2021,1
Iowa,2022,1
Kansas,2010,0
Kansas,2011,1
Kansas,2012,1
Kansas,2013,1
Kansas,2014,1
Kansas,2015,1
Kansas,2016,1
Kansas,2017,1
Kansas,2018,1
Kansas,2019,1
Kansas,2020,1
Kansas,2021,1
Kansas,2022,1
Kentucky,2010,1
Kentucky,2011,1
Kentucky,2012,1
Kentucky,2013,1
Kentucky,2014,1
Kentucky,2015,1
Kentucky,2016,1
Kentucky,2017,1
Kentucky,2018,1
Kentucky,2019,1
Kentucky,2020,1
Kentucky,2021,1
Kentucky,2022,1
Louisiana,2010,1
Louisiana,2011,1
Louisiana,2012,1
Louisiana,2013,1
Louisiana,2014,1
Louisiana,2015,1
Louisiana,2016,1
Louisiana,2017,1
Louisiana,2018,1
Louisiana,2019,1
Louisiana,2020,1
Louisiana,2021,1
Louisiana,2022,1
Maine,2010,1
Maine,2011,1
Maine,2012,1
Maine,2013,1
Maine,2014,1
Maine,2015,1
Maine,2016,1
Maine,2017,1
Maine,2018,1
Maine,2019,1
Maine,2020,1
Maine,2021,1
Maine,2022,1
Maryland,2010,0
Maryland,2011,0
Maryland,2012,0
Maryland,2013,1
Maryland,2014,1
Maryland,2015,1
Maryland,2016,1
Maryland,2017,1
Maryland,2018,1
Maryland,2019,1
Maryland,2020,1
Maryland,2021,1
Maryland,2022,1
Massachusetts,2010,1
Massachusetts,2011,1
Massachusetts,2012,1
Massachusetts,2013,1
Massachusetts,2014,1
Massachusetts,2015,1
Massachusetts,2016,1
Massachusetts,2017,1
Massachusetts,2018,1
Massachusetts,2019,1
Massachusetts,2020,1
Massachusetts,2021,1
Massachusetts,2022,1
Michigan,2010,1
Michigan,2011,1
Michigan,2012,1
Michigan,2013,1
Michigan,2014,1
Michigan,2015,1
Michigan,2016,1
Michigan,2017,1
Michigan,2018,1
Michigan,2019,1
Michigan,2020,1
Michigan,2021,1
Michigan,2022,1
Minnesota,2010,1
Minnesota,2011,1
Minnesota,2012,1
Minnesota,2013,1
Minnesota,2014,1
Minnesota,2015,1
Minnesota,2016,1
Minnesota,2017,1
Minnesota,2018,1
Minnesota,2019,1
Minnesota,2020,1
Minnesota,2021,1
Minnesota,2022,1
Mississippi,2010,1
Mississippi,2011,1
Mississippi,2012,1
Mississippi,2013,1
Mississippi,2014,1
Mississippi,2015,1
Mississippi,2016,1
Mississippi,2017,1
Mississippi,2018,1
Mississippi,2019,1
Mississippi,2020,1
Mississippi,2021,1
Mississippi,2022,1
Montana,2010,0
Montana,2011,0
Montana,2012,1
Montana,2013,1
Montana,2014,1
Montana,2015,1
Montana,2016,1
Montana,2017,1
Montana,2018,1
Montana,2019,1
Montana,2020,1
Montana,2021,1
Montana,2022,1
Nebraska,2010,0
Nebraska,2011,1
Nebraska,2012,1
Nebraska,2013,1
Nebraska,2014,1
Nebraska,2015,1
Nebraska,2016,1
Nebraska,2017,1
Nebraska,2018,1
Nebraska,2019,1
Nebraska,2020,1
Nebraska,2021,1
Nebraska,2022,1
Nevada,2010,1
Nevada,2011,1
Nevada,2012,1
Nevada,2013,1
Nevada,2014,1
Nevada,2015,1
Nevada,2016,1
Nevada,2017,1
Nevada,2018,1
Nevada,2019,1
Nevada,2020,1
Nevada,2021,1
Nevada,2022,1
New Hampshire,2010,0
New Hampshire,2011,0
New Hampshire,2012,0
New Hampshire,2013,0
New Hampshire,2014,1
New Hampshire,2015,1
New Hampshire,2016,1
New Hampshire,2017,1
New Hampshire,2018,1
New Hampshire,2019,1
New Hampshire,2020,1
New Hampshire,2021,1
New Hampshire,2022,1
New Jersey,2010,0
New Jersey,2011,1
New Jersey,2012,1
New Jersey,2013,1
New Jersey,2014,1
New Jersey,2015,1
New Jersey,2016,1
New Jersey,2017,1
New Jersey,2018,1
New Jersey,2019,1
New Jersey,2020,1
New Jersey,2021,1
New Jersey,2022,1
New Mexico,2010,1
New Mexico,2011,1
New Mexico,2012,1
New Mexico,2013,1
New Mexico,2014,1
New Mexico,2015,1
New Mexico,2016,1
New Mexico,2017,1
New Mexico,2018,1
New Mexico,2019,1
New Mexico,2020,1
New Mexico,2021,1
New Mexico,2022,1
New York,2010,1
New York,2011,1
New York,2012,1
New York,2013,1
New York,2014,1
New York,2015,1
New York,2016,1
New York,2017,1
New York,2018,1
New York,2019,1
New York,2020,1
New York,2021,1
New York,2022,1
North Carolina,2010,1
North Carolina,2011,1
North Carolina,2012,1
North Carolina,2013,1
North Carolina,2014,1
North Carolina,2015,1
North Carolina,2016,1
North Carolina,2017,1
North Carolina,2018,1
North Carolina,2019,1
North Carolina,2020,1
North Carolina,2021,1
North Carolina,2022,1
North Dakota,2010,1
North Dakota,2011,1
North Dakota,2012,1
North Dakota,2013,1
North Dakota,2014,1
North Dakota,2015,1
North Dakota,2016,1
North Dakota,2017,1
North Dakota,2018,1
North Dakota,2019,1
North Dakota,2020,1
North Dakota,2021,1
North Dakota,2022,1
Ohio,2010,1
Ohio,2011,1
Ohio,2012,1
Ohio,2013,1
Ohio,2014,1
Ohio,2015,1
Ohio,2016,1
Ohio,2017,1
Ohio,2018,1
Ohio,2019,1
Ohio,2020,1
Ohio,2021,1
Ohio,2022,1
Oklahoma,2010,1
Oklahoma,2011,1
Oklahoma,2012,1
Oklahoma,2013,1
Oklahoma,2014,1
Oklahoma,2015,1
Oklahoma,2016,1
Oklahoma,2017,1
Oklahoma,2018,1
Oklahoma,2019,1
Oklahoma,2020,1
Oklahoma,2021,1
Oklahoma,2022,1
Oregon,2010,0
Oregon,2011,1
Oregon,2012,1
Oregon,2013,1
Oregon,2014,1
Oregon,2015,1
Oregon,2016,1
Oregon,2017,1
Oregon,2018,1
Oregon,2019,1
Oregon,2020,1
Oregon,2021,1
Oregon,2022,1
Pennsylvania,2010,1
Pennsylvania,2011,1
Pennsylvania,2012,1
Pennsylvania,2013,1
Pennsylvania,2014,1
Pennsylvania,2015,1
Pennsylvania,2016,1
Pennsylvania,2017,1
Pennsylvania,2018,1
Pennsylvania,2019,1
Pennsylvania,2020,1
Pennsylvania,2021,1
Pennsylvania,2022,1
Rhode Island,2010,1
Rhode Island,2011,1
Rhode Island,2012,1
Rhode Island,2013,1
Rhode Island,2014,1
Rhode Island,2015,1
Rhode Island,2016,1
Rhode Island,2017,1
Rhode Island,2018,1
Rhode Island,2019,1
Rhode Island,2020,1
Rhode Island,2021,1
Rhode Island,2022,1
South Carolina,2010,1
South Carolina,2011,1
South Carolina,2012,1
South Carolina,2013,1
South Carolina,2014,1
South Carolina,2015,1
South Carolina,2016,1
South Carolina,2017,1
South Carolina,2018,1
South Carolina,2019,1
South Carolina,2020,1
South Carolina,2021,1
South Carolina,2022,1
South Dakota,2010,0
South Dakota,2011,1
South Dakota,2012,1
South Dakota,2013,1
South Dakota,2014,1
South Dakota,2015,1
South Dakota,2016,1
South Dakota,2017,1
South Dakota,2018,1
South Dakota,2019,1
South Dakota,2020,1
South Dakota,2021,1
South Dakota,2022,1
Tennessee,2010,1
Tennessee,2011,1
Tennessee,2012,1
Tennessee,2013,1
Tennessee,2014,1
Tennessee,2015,1
Tennessee,2016,1
Tennessee,2017,1
Tennessee,2018,1
Tennessee,2019,1
Tennessee,2020,1
Tennessee,2021,1
Tennessee,2022,1
Texas,2010,1
Texas,2011,1
Texas,2012,1
Texas,2013,1
Texas,2014,1
Texas,2015,1
Texas,2016,1
Texas,2017,1
Texas,2018,1
Texas,2019,1
Texas,2020,1
Texas,2021,1
Texas,2022,1
Utah,2010,1
Utah,2011,1
Utah,2012,1
Utah,2013,1
Utah,2014,1
Utah,2015,1
Utah,2016,1
Utah,2017,1
Utah,2018,1
Utah,2019,1
Utah,2020,1
Utah,2021,1
Utah,2022,1
Vermont,2010,1
Vermont,2011,1
Vermont,2012,1
Vermont,2013,1
Vermont,2014,1
Vermont,2015,1
Vermont,2016,1
Vermont,2017,1
Vermont,2018,1
Vermont,2019,1
Vermont,2020,1
Vermont,2021,1
Vermont,2022,1
Virginia,2010,1
Virginia,2011,1
Virginia,2012,1
Virginia,2013,1
Virginia,2014,1
Virginia,2015,1
Virginia,2016,1
Virginia,2017,1
Virginia,2018,1
Virginia,2019,1
Virginia,2020,1
Virginia,2021,1
Virginia,2022,1
Washington,2010,0
Washington,2011,1
Washington,2012,1
Washington,2013,1
Washington,2014,1
Washington,2015,1
Washington,2016,1
Washington,2017,1
Washington,2018,1
Washington,2019,1
Washington,2020,1
Washington,2021,1
Washington,2022,1
West Virginia,2010,1
West Virginia,2011,1
West Virginia,2012,1
West Virginia,2013,1
West Virginia,2014,1
West Virginia,2015,1
West Virginia,2016,1
West Virginia,2017,1
West Virginia,2018,1
West Virginia,2019,1
West Virginia,2020,1
West Virginia,2021,1
West Virginia,2022,1
Wisconsin,2010,0
Wisconsin,2011,0
Wisconsin,2012,0
Wisconsin,2013,1
Wisconsin,2014,1
Wisconsin,2015,1
Wisconsin,2016,1
Wisconsin,2017,1
Wisconsin,2018,1
Wisconsin,2019,1
Wisconsin,2020,1
Wisconsin,2021,1
Wisconsin,2022,1
Wyoming,2010,1
Wyoming,2011,1
Wyoming,2012,1
Wyoming,2013,1
Wyoming,2014,1
Wyoming,2015,1
Wyoming,2016,1
Wyoming,2017,1
Wyoming,2018,1
Wyoming,2019,1
Wyoming,2020,1
Wyoming,2021,1
Wyoming,2022,1
