Jurisdictions,Effective Date,Valid Through Date,pdmpimp-pdmpauth,pdmpimp-effect,pdmpimp-op,pdmpimp-accstart,pdmpimp-estart,pdmpimp-eaccess
Alabama,2013-08-01,2017-06-01,1,2005-05-13,2006-01-01,2007-06-28,2006-01-01,2007-06-28
Alaska,2016-09-01,2017-06-01,1,2008-09-07,2011-08-01,2012-01-01,2011-08-01,2012-01-01
Arizona,2016-01-01,2017-06-01,1,2007-09-19,2008-10-01,2008-12-01,2008-10-01,2008-12-01
Arkansas,2015-07-22,2017-06-01,1,2011-03-11,2013-03-01,2013-05-16,2013-03-01,2013-05-16
California,2017-01-01,2017-06-01,1,1939-01-01,1939-01-01,.,2007-01-01,2009-09-01
Colorado,2014-05-21,2017-06-01,1,2005-06-03,2007-07-01,2008-02-04,2007-07-01,2008-02-04
Connecticut,2016-07-01,2017-06-01,1,2006-06-06,2008-07-01,.,2008-07-01,.
Delaware,2017-05-30,2017-06-01,1,2010-07-15,2012-03-01,2012-08-21,2012-03-01,2012-08-21
District of Columbia,2014-02-22,2017-06-01,1,2014-02-22,.,.,.,.
Florida,2016-07-01,2017-06-01,1,2009-06-18,2011-09-01,2011-10-17,2011-09-01,2011-10-17
Georgia,2011-07-01,2017-06-01,1,2011-05-13,2013-07-01,2013-07-01,2013-07-01,2013-07-01
Hawaii,2016-07-01,2017-06-01,1,1943-01-01,1943-01-01,.,1992-01-01,1997-01-01
Idaho,2013-07-01,2017-06-01,1,1967-01-01,1967-01-01,1999-06-01,2004-01-01,1999-06-01
Illinois,2015-09-09,2017-06-01,1,1961-01-01,1968-01-01,.,2000-01-01,.
Indiana,2016-07-01,2017-06-01,1,1997-01-01,1998-01-01,.,1998-01-01,2004-12-29
Iowa,2016-07-01,2017-06-01,1,2006-05-31,2009-01-01,2009-03-19,2009-01-01,2009-03-19
Kansas,2012-05-17,2017-06-01,1,2008-07-01,2011-02-01,2011-04-01,2011-02-01,2011-04-01
Kentucky,2013-03-04,2017-06-01,1,1998-07-15,1999-01-01,1999-07-01,1999-01-01,1999-07-01
Louisiana,2006-07-01,2017-06-01,1,2006-07-01,2008-11-01,2009-01-01,2008-11-01,2009-01-01
Maine,2012-08-30,2017-06-01,1,2003-06-23,2004-07-01,2005-01-01,2004-07-01,2005-01-01
Maryland,2016-10-01,2017-06-01,1,2011-05-10,2013-08-20,2013-12-20,2013-08-20,2013-12-20
Massachusetts,2016-10-15,2017-06-01,1,1992-01-01,1994-01-01,.,1994-01-01,2011-01-01
Michigan,2017-03-28,2017-06-01,1,1988-01-01,1989-01-01,.,2003-01-01,2003-01-01
Minnesota,2016-08-01,2017-06-01,1,2007-07-01,2010-01-04,2010-04-15,2010-01-04,2010-04-15
Mississippi,2016-07-01,2017-06-01,1,2005-01-01,2005-01-01,2005-12-01,2008-01-01,2005-12-01
Missouri,2016-06-01,2017-06-01,0,.,.,.,.,.
Montana,2011-07-01,2017-06-01,1,2011-07-01,2012-03-12,2012-11-01,2012-03-12,2012-11-01
Nebraska,2011-04-14,2017-06-01,1,2011-04-14,2011-04-14,2011-04-14,2011-04-14,2011-04-14
Nevada,2016-01-01,2017-06-01,1,1995-06-29,1997-01-01,1997-07-01,1997-01-01,1997-07-01
New Hampshire,2015-11-01,2017-06-01,1,2012-06-12,2014-09-02,2014-10-16,2014-09-02,2014-10-16
New Jersey,2015-11-01,2017-06-01,1,2008-01-04,2011-09-01,2012-01-05,2011-09-01,2012-01-05
New Mexico,2016-03-23,2017-06-01,1,2004-07-15,2005-01-01,2005-08-01,2005-01-01,2005-08-01
New York,2016-07-22,2017-06-01,1,1972-01-01,1973-04-01,2010-02-01,1999-01-01,.
North Carolina,2006-01-01,2017-06-01,1,2005-08-13,2007-07-01,2007-10-01,2007-07-01,2007-10-01
North Dakota,2013-08-01,2017-06-01,1,2005-12-01,2007-09-01,2007-09-01,2007-09-01,2007-09-01
Ohio,2016-09-08,2017-06-01,1,2005-05-18,2006-07-01,2006-10-02,2006-07-01,2006-10-02
Oklahoma,2013-04-08,2017-06-01,1,1990-05-15,1991-01-01,.,1991-01-01,2006-07-01
Oregon,2015-01-01,2017-06-01,1,2009-07-23,2011-06-01,2011-09-01,2011-06-01,2011-09-01
Pennsylvania,1974-07-06,2017-06-01,1,1972-01-01,1973-01-01,.,.,.
Rhode Island,2016-06-28,2017-06-01,1,1978-01-01,1979-01-01,.,2006-01-01,2012-07-01
South Carolina,2017-05-19,2017-06-01,1,2006-06-14,2008-02-01,2008-09-01,2008-02-01,2008-09-01
South Dakota,2010-07-01,2017-06-01,1,2010-03-29,2011-12-05,2012-03-01,2011-12-05,2012-03-01
Tennessee,2016-04-27,2017-06-01,1,2003-01-01,2006-12-01,2007-01-01,2006-12-01,2007-01-01
Texas,2016-09-01,2017-06-01,1,1981-09-01,1982-01-01,1982-01-01,2001-01-01,2012-06-30
Utah,2016-05-10,2017-06-01,1,1995-01-01,1996-01-01,1997-01-01,1996-01-01,1997-01-01
Vermont,2013-07-01,2017-06-01,1,2006-05-31,2009-01-01,2009-04-01,2009-01-01,2009-04-01
Virginia,2016-07-01,2017-06-01,1,2002-04-05,2003-09-01,2006-06-01,2003-09-01,2006-06-01
Washington,2013-07-28,2017-06-01,1,2007-07-22,2011-10-07,2012-01-04,2011-10-07,2012-01-04
West Virginia,2015-06-10,2017-06-01,1,1995-07-01,1995-07-01,.,2002-09-01,2004-12-01
Wisconsin,2017-04-01,2017-06-01,1,2010-05-18,2013-04-01,2013-06-01,2013-04-01,2013-06-01
Wyoming,2016-01-01,2017-06-01,1,2003-03-07,2004-07-01,2004-10-01,2004-07-01,2004-10-01